WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
23,1,0,16,42,251,0,16,22,0.9091,314,1,0,0,0.3636,0,0,12.6087,56,11,0.0058,NotFaulty
1,1,0,1,3,0,0,1,0,2,35,0,0,0,0,0,0,33,1290,1,0,NotFaulty
15,1,0,15,33,103,0,15,14,0.8571,208,1,0,0,0.3571,0,0,12.8,87,11,0.0038,NotFaulty
11,1,0,9,27,33,0,9,10,0.8429,154,0.8571,0,0,0.2338,0,0,12.3636,121,5,0,NotFaulty
38,1,0,17,79,597,0,17,28,0.8739,804,0.8333,0,0,0.1734,0,0,20,37,8,0.0014,NotFaulty
1,1,0,1,3,0,0,1,0,2,35,0,0,0,0,0,0,33,1409,1,0,NotFaulty
6,1,0,6,18,9,0,6,6,0.5333,144,1,0,0,0.375,1,1,22.5,236,5,0.0014,NotFaulty
6,1,0,5,16,9,0,5,6,0.5333,96,1,0,0,0.375,0,0,14.5,238,4,0.0009,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,1432,1,0,NotFaulty
9,1,0,2,9,36,0,2,9,2,9,0,0,0,0.2778,0,0,0,160,1,0,NotFaulty
17,1,0,4,17,136,0,4,17,2,17,0,0,0,0.2647,0,0,0,85,1,0,NotFaulty
1,1,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,1459,1,0,NotFaulty
4,1,0,0,9,0,0,0,3,0.2222,80,1,0,0,0.625,0,0,18.25,367,3,0,NotFaulty
2,1,0,4,5,0,0,4,1,0,16,0,0,0,0.6667,0,0,6.5,735,1,0,NotFaulty
27,3,0,11,76,41,0,11,26,0.6154,755,1,0,0.4419,0.1577,3,14,26.7778,56,6,0.0023,NotFaulty
3,1,0,3,9,0,0,3,1,0.5,95,0,0,0,0.6667,0,0,30,513,6,0,NotFaulty
25,1,0,10,66,176,0,10,18,0.8208,689,0.7,0,0,0.1708,0,0,26.16,64,18,0,NotFaulty
2,1,0,3,4,0,0,3,1,0,15,0,0,0,0.6667,0,0,6,812,1,0,Faulty
4,1,0,9,6,4,0,9,4,0.3333,28,1,0,0,0.75,0,0,5.75,407,1,0,Faulty
5,1,0,9,6,8,0,9,5,0.25,31,1,0,0,0.8,0,0,5,326,1,0,Faulty
9,2,0,0,24,12,0,0,9,0.6563,146,0.75,0,0,0.3111,1,1,14.7778,183,7,0.0007,NotFaulty
2,1,0,2,2,1,0,2,2,2,2,0,0,0,1,0,0,0,828,1,0,NotFaulty
6,1,0,3,12,0,0,3,0,0.2,41,1,0,0,0.4,0,0,5.6667,277,2,0,NotFaulty
