WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
3,1,0,0,3,3,0,0,3,2,3,0,0,0,0.8333,0,0,0,452,1,0,NotFaulty
4,1,0,1,10,0,0,1,4,0.1667,78,1,0,0,0.5833,0,0,18,341,3,0,NotFaulty
1,1,0,0,2,0,0,0,0,2,4,0,0,0,1,0,0,3,1366,1,0,NotFaulty
2,1,0,0,3,1,0,0,0,1,24,0,1,0,0.6,0,0,9,684,1,0,NotFaulty
5,1,0,3,9,0,0,3,2,0.4583,147,0,0,0,0.6,0,0,27.2,276,9,0,NotFaulty
14,2,0,1,20,27,0,1,0,0.7051,617,0.1667,0,0.5938,0.3304,0,0,42.6429,103,8,0,NotFaulty
2,2,0,1,4,0,0,1,1,0,13,0,0,0.9846,0.75,0,0,5,722,1,0,NotFaulty
4,1,0,2,8,0,0,2,3,0.5,29,0,0,0,0.5,0,0,5.75,362,1,0,NotFaulty
5,1,0,3,10,0,0,3,4,0.5,34,0,0,0,0.4667,0,0,5.4,290,1,0,NotFaulty
7,1,0,0,15,3,0,0,7,0.6667,85,0,0,0,0.4643,1,1,10.5714,209,3,0,NotFaulty
4,2,0,1,10,0,0,1,2,0.5,89,1,0,0.9552,0.625,0,0,20.75,367,4,0,NotFaulty
14,1,0,0,15,0,0,0,9,0.4615,342,1,0,0,0.3571,0,0,23.2143,107,7,0,NotFaulty
15,1,0,0,24,15,0,0,8,0.7143,169,1,0,0,0.5333,0,0,9.8667,101,1,0,NotFaulty
5,1,0,2,9,0,0,2,2,0.4583,184,0.1667,0,0,0.6,0,0,34.6,306,4,0,NotFaulty
1,1,0,0,2,0,0,0,1,2,14,0,1,0,1,0,0,9,1532,1,0,NotFaulty
4,1,0,0,4,6,0,0,4,2,4,0,0,0,1,0,0,0,384,1,0,NotFaulty
10,1,0,1,22,45,0,1,10,2,65,0,0,0,0.4667,0,0,5.5,154,3,0.0108,NotFaulty
1,1,0,1,2,0,0,1,1,2,20,0,0,0,1,0,0,15,1549,1,0,NotFaulty
5,1,0,3,13,4,0,3,5,0,69,0,0,0,0.4,0,0,12.6,311,2,0,NotFaulty
1,1,0,1,2,0,0,1,1,2,20,0,0,0,1,0,0,15,1556,1,0,NotFaulty
5,1,0,3,13,4,0,3,5,0,69,0,0,0,0.4,0,0,12.6,312,2,0,NotFaulty
4,1,0,0,8,0,0,0,3,0.3333,89,1,1,0,0.6667,1,1,20.5,393,8,0,NotFaulty
5,1,0,3,10,4,0,3,5,0,53,1,0,0,0.4,0,0,9.4,316,2,0,NotFaulty
17,1,0,4,29,132,0,4,17,0.9531,141,1,0,0,0.2353,0,0,7.0588,94,2,0,NotFaulty
1,1,0,1,2,0,0,1,1,2,16,0,0,0,1,0,0,12,1604,1,0,NotFaulty
5,1,0,3,15,4,0,3,5,0,63,0,0,0,0.4,0,0,11.4,322,2,0,NotFaulty
7,1,0,13,24,21,0,13,0,2,225,0,0,0,0.5143,0,0,31.1429,231,4,0,NotFaulty
0,1,0,0,0,0,0,0,0,2,128,0,0,0,0,0,0,0,0,0,0,NotFaulty
5,1,0,1,9,10,0,1,4,2,39,0,0,0,0.4333,0,0,6.8,325,1,0,NotFaulty
5,1,0,1,9,10,0,1,4,2,28,0,0,0,0.4333,0,0,4.6,326,1,0,NotFaulty
5,1,0,1,9,10,0,1,4,2,28,0,0,0,0.4333,0,0,4.6,327,1,0,NotFaulty
5,1,0,1,9,10,0,1,4,2,32,0,0,0,0.4333,0,0,5.4,328,2,0,NotFaulty
3,1,0,1,6,3,0,1,2,2,22,0,0,0,0.4667,0,0,6.3333,548,2,0,NotFaulty
5,1,0,1,13,10,0,1,4,2,75,0,0,0,0.4333,0,0,14,331,3,0,NotFaulty
5,1,0,1,7,10,0,1,4,2,31,0,0,0,0.4333,0,0,5.2,332,1,0,NotFaulty
3,1,0,4,9,0,0,4,3,0,45,1,0,0,0.4444,0,0,13.6667,554,1,0,NotFaulty
3,1,0,8,11,3,0,8,2,1,44,0,8,0,0.6,0,0,11,555,1,0,NotFaulty
5,1,0,0,8,0,0,0,0,0.3333,88,0.6667,0,0,0.5333,0,0,16,335,3,0,NotFaulty
2,1,0,3,5,1,0,3,0,1,58,0,0,0,1,0,0,27.5,838,1,0,NotFaulty
47,1,0,12,180,1079,0,12,6,2,3720,0,0,0,0.2216,0,0,78.1489,42,122,0.0195,NotFaulty
5,1,0,5,29,10,0,5,4,2,156,0,0,0,0.4333,0,0,30.2,397,5,0,Faulty
10,1,0,1,22,13,0,1,8,0.8413,157,0.7143,0,0,0.225,0,0,14,200,2,0,Faulty
10,1,0,0,28,25,0,0,5,0.6984,196,1,0,0,0.2667,0,0,17.9,201,4,0,NotFaulty
18,1,0,11,73,0,0,11,12,0.7701,1133,1,0,0,0.2941,0,0,60.7222,114,9,0.0489,Faulty
28,1,0,8,85,138,0,8,13,0.8805,1768,0.8636,0,0,0.2341,0,0,61.3571,77,12,0.0969,Faulty
